trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.005, 'e': 0.8702927222980654}",20,0,-180.14889153498535,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
104,False,"{'a': 0.005, 'e': 0.8678191796776499}",25,0,-47.61640560506211,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
105,False,"{'a': 0.005, 'e': 0.8653239416229412}",20,0,-82.44827120775395,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
106,False,"{'a': 0.005, 'e': 0.862807070514761}",25,13,-10.244717319223906,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
107,False,"{'a': 0.005, 'e': 0.8602686292747557}",25,0,-55.600283014230776,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
108,False,"{'a': 0.005, 'e': 0.8577086813638242}",20,7,-84.41997251488428,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 2}",1
109,False,"{'a': 0.005, 'e': 0.8551272907805307}",25,0,-171.96096891164242,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
110,False,"{'a': 0.005, 'e': 0.8525245220595057}",20,0,-72.36764180176895,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
111,False,"{'a': 0.005, 'e': 0.8499004402698315}",20,12,19.22324956554889,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.005, 'e': 0.8472551110134161}",20,0,5.160361776633181,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
113,False,"{'a': 0.005, 'e': 0.8445886004233532}",25,0,-39.9745026729798,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
114,False,"{'a': 0.005, 'e': 0.8419009751622687}",20,0,-79.08057268469412,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
115,False,"{'a': 0.005, 'e': 0.8391923024206541}",30,0,-83.385639873457,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
116,False,"{'a': 0.005, 'e': 0.8364626499151869}",20,0,-121.15419773875735,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
